,UExt,URoof,UFloor,UWin,heatCapacity_wall,fAWin_south,fAWin_east,fAWin_west,fAWin_north,zone_length,weaDat.fileName,changes,UpperSP,LowerSP
0,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,6,Munich,[],23.5,22.0
1,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,6,Bratislava,[],23.0,19.0
2,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,6,Amsterdam,[],21.5,20.5
3,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,9,Munich,[],22.0,18.5
4,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,9,Bratislava,[],22.0,20.0
5,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,9,Amsterdam,[],21.0,17.5
6,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,12,Munich,[],22.5,22.0
7,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,12,Bratislava,[],23.5,23.0
8,0.1,0.1,0.1,1.1,30000,0.15,0.15,0.15,0.15,12,Amsterdam,[],23.5,20.5
9,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,6,Munich,[],23.0,23.0
10,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,6,Bratislava,[],22.0,19.5
11,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,6,Amsterdam,[],21.5,21.5
12,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,9,Munich,[],21.0,21.0
13,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,9,Bratislava,[],21.0,18.5
14,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,9,Amsterdam,[],20.5,20.5
15,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,12,Munich,[],23.0,23.0
16,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,12,Bratislava,[],20.5,19.0
17,0.1,0.1,0.1,1.1,30000,0.2,0.2,0.2,0.2,12,Amsterdam,[],23.5,21.5
18,0.1,0.1,0.1,1.1,165000,0.15,0.15,0.15,0.15,6,Munich,[],22.0,18.5
19,0.1,0.1,0.1,1.1,165000,0.15,0.15,0.15,0.15,6,Bratislava,[],23.0,22.0
20,0.1,0.1,0.1,1.1,165000,0.15,0.15,0.15,0.15,6,Amsterdam,[],24.0,21.5
21,0.1,0.1,0.1,1.1,165000,0.15,0.15,0.15,0.15,9,Munich,[],21.5,18.5
22,0.1,0.1,0.1,1.1,165000,0.15,0.15,0.15,0.15,9,Bratislava,[],24.0,22.0
23,0.1,0.1,0.1,1.1,165000,0.15,0.15,0.15,0.15,9,Amsterdam,[],21.0,18.5
24,0.1,0.1,0.1,1.1,165000,0.15,0.15,0.15,0.15,12,Munich,[],20.5,17.5
25,0.1,0.1,0.1,1.1,165000,0.15,0.15,0.15,0.15,12,Bratislava,[],23.5,23.5
26,0.1,0.1,0.1,1.1,165000,0.15,0.15,0.15,0.15,12,Amsterdam,[],20.0,18.0
27,0.1,0.1,0.1,1.1,165000,0.2,0.2,0.2,0.2,6,Munich,[],23.0,22.0
28,0.1,0.1,0.1,1.1,165000,0.2,0.2,0.2,0.2,6,Bratislava,[],24.0,23.0
29,0.1,0.1,0.1,1.1,165000,0.2,0.2,0.2,0.2,6,Amsterdam,[],22.5,19.0
30,0.1,0.1,0.1,1.1,165000,0.2,0.2,0.2,0.2,9,Munich,[],22.0,20.0
31,0.1,0.1,0.1,1.1,165000,0.2,0.2,0.2,0.2,9,Bratislava,[],22.0,19.5
32,0.1,0.1,0.1,1.1,165000,0.2,0.2,0.2,0.2,9,Amsterdam,[],22.5,20.0
33,0.1,0.1,0.1,1.1,165000,0.2,0.2,0.2,0.2,12,Munich,[],23.0,23.0
34,0.1,0.1,0.1,1.1,165000,0.2,0.2,0.2,0.2,12,Bratislava,[],20.5,16.5
35,0.1,0.1,0.1,1.1,165000,0.2,0.2,0.2,0.2,12,Amsterdam,[],22.0,22.0
36,0.1,0.1,0.1,1.1,300000,0.15,0.15,0.15,0.15,6,Munich,[],21.5,20.0
37,0.1,0.1,0.1,1.1,300000,0.15,0.15,0.15,0.15,6,Bratislava,[],23.5,21.5
38,0.1,0.1,0.1,1.1,300000,0.15,0.15,0.15,0.15,6,Amsterdam,[],22.0,19.5
39,0.1,0.1,0.1,1.1,300000,0.15,0.15,0.15,0.15,9,Munich,[],20.5,20.5
40,0.1,0.1,0.1,1.1,300000,0.15,0.15,0.15,0.15,9,Bratislava,[],22.0,18.5
41,0.1,0.1,0.1,1.1,300000,0.15,0.15,0.15,0.15,9,Amsterdam,[],22.5,18.5
42,0.1,0.1,0.1,1.1,300000,0.15,0.15,0.15,0.15,12,Munich,[],20.0,16.5
43,0.1,0.1,0.1,1.1,300000,0.15,0.15,0.15,0.15,12,Bratislava,[],23.0,19.0
44,0.1,0.1,0.1,1.1,300000,0.15,0.15,0.15,0.15,12,Amsterdam,[],23.0,22.0
45,0.1,0.1,0.1,1.1,300000,0.2,0.2,0.2,0.2,6,Munich,[],21.0,17.5
46,0.1,0.1,0.1,1.1,300000,0.2,0.2,0.2,0.2,6,Bratislava,[],21.0,17.5
47,0.1,0.1,0.1,1.1,300000,0.2,0.2,0.2,0.2,6,Amsterdam,[],22.5,22.5
48,0.1,0.1,0.1,1.1,300000,0.2,0.2,0.2,0.2,9,Munich,[],23.5,20.5
49,0.1,0.1,0.1,1.1,300000,0.2,0.2,0.2,0.2,9,Bratislava,[],22.0,20.0
50,0.1,0.1,0.1,1.1,300000,0.2,0.2,0.2,0.2,9,Amsterdam,[],23.0,23.0
51,0.1,0.1,0.1,1.1,300000,0.2,0.2,0.2,0.2,12,Munich,[],21.0,19.0
52,0.1,0.1,0.1,1.1,300000,0.2,0.2,0.2,0.2,12,Bratislava,[],23.0,23.0
53,0.1,0.1,0.1,1.1,300000,0.2,0.2,0.2,0.2,12,Amsterdam,[],24.0,21.0
54,0.4,0.4,0.4,1.4,30000,0.15,0.15,0.15,0.15,6,Munich,[],23.5,23.5
55,0.4,0.4,0.4,1.4,30000,0.15,0.15,0.15,0.15,6,Bratislava,[],23.0,19.5
56,0.4,0.4,0.4,1.4,30000,0.15,0.15,0.15,0.15,6,Amsterdam,[],21.5,21.0
57,0.4,0.4,0.4,1.4,30000,0.15,0.15,0.15,0.15,9,Munich,[],20.0,17.5
58,0.4,0.4,0.4,1.4,30000,0.15,0.15,0.15,0.15,9,Bratislava,[],24.0,21.5
59,0.4,0.4,0.4,1.4,30000,0.15,0.15,0.15,0.15,9,Amsterdam,[],20.0,17.5
60,0.4,0.4,0.4,1.4,30000,0.15,0.15,0.15,0.15,12,Munich,[],22.5,20.5
61,0.4,0.4,0.4,1.4,30000,0.15,0.15,0.15,0.15,12,Bratislava,[],23.0,22.5
62,0.4,0.4,0.4,1.4,30000,0.15,0.15,0.15,0.15,12,Amsterdam,[],22.5,20.5
63,0.4,0.4,0.4,1.4,30000,0.2,0.2,0.2,0.2,6,Munich,[],20.0,20.0
64,0.4,0.4,0.4,1.4,30000,0.2,0.2,0.2,0.2,6,Bratislava,[],20.5,19.0
65,0.4,0.4,0.4,1.4,30000,0.2,0.2,0.2,0.2,6,Amsterdam,[],21.5,18.0
66,0.4,0.4,0.4,1.4,30000,0.2,0.2,0.2,0.2,9,Munich,[],20.0,18.5
67,0.4,0.4,0.4,1.4,30000,0.2,0.2,0.2,0.2,9,Bratislava,[],23.0,20.5
68,0.4,0.4,0.4,1.4,30000,0.2,0.2,0.2,0.2,9,Amsterdam,[],23.5,21.0
69,0.4,0.4,0.4,1.4,30000,0.2,0.2,0.2,0.2,12,Munich,[],22.0,20.0
70,0.4,0.4,0.4,1.4,30000,0.2,0.2,0.2,0.2,12,Bratislava,[],22.5,22.5
71,0.4,0.4,0.4,1.4,30000,0.2,0.2,0.2,0.2,12,Amsterdam,[],23.5,19.5
72,0.4,0.4,0.4,1.4,165000,0.15,0.15,0.15,0.15,6,Munich,[],21.0,21.0
73,0.4,0.4,0.4,1.4,165000,0.15,0.15,0.15,0.15,6,Bratislava,[],22.0,21.0
74,0.4,0.4,0.4,1.4,165000,0.15,0.15,0.15,0.15,6,Amsterdam,[],20.0,17.5
75,0.4,0.4,0.4,1.4,165000,0.15,0.15,0.15,0.15,9,Munich,[],24.0,22.5
76,0.4,0.4,0.4,1.4,165000,0.15,0.15,0.15,0.15,9,Bratislava,[],21.0,18.0
77,0.4,0.4,0.4,1.4,165000,0.15,0.15,0.15,0.15,9,Amsterdam,[],22.0,19.5
78,0.4,0.4,0.4,1.4,165000,0.15,0.15,0.15,0.15,12,Munich,[],21.0,21.0
79,0.4,0.4,0.4,1.4,165000,0.15,0.15,0.15,0.15,12,Bratislava,[],21.0,20.0
80,0.4,0.4,0.4,1.4,165000,0.15,0.15,0.15,0.15,12,Amsterdam,[],20.0,20.0
81,0.4,0.4,0.4,1.4,165000,0.2,0.2,0.2,0.2,6,Munich,[],21.5,20.0
82,0.4,0.4,0.4,1.4,165000,0.2,0.2,0.2,0.2,6,Bratislava,[],22.0,20.5
83,0.4,0.4,0.4,1.4,165000,0.2,0.2,0.2,0.2,6,Amsterdam,[],22.5,22.0
84,0.4,0.4,0.4,1.4,165000,0.2,0.2,0.2,0.2,9,Munich,[],21.5,21.5
85,0.4,0.4,0.4,1.4,165000,0.2,0.2,0.2,0.2,9,Bratislava,[],21.5,19.5
86,0.4,0.4,0.4,1.4,165000,0.2,0.2,0.2,0.2,9,Amsterdam,[],21.5,19.0
87,0.4,0.4,0.4,1.4,165000,0.2,0.2,0.2,0.2,12,Munich,[],22.0,20.5
88,0.4,0.4,0.4,1.4,165000,0.2,0.2,0.2,0.2,12,Bratislava,[],23.5,20.0
89,0.4,0.4,0.4,1.4,165000,0.2,0.2,0.2,0.2,12,Amsterdam,[],21.0,21.0
90,0.4,0.4,0.4,1.4,300000,0.15,0.15,0.15,0.15,6,Munich,[],21.5,20.0
91,0.4,0.4,0.4,1.4,300000,0.15,0.15,0.15,0.15,6,Bratislava,[],22.5,20.5
92,0.4,0.4,0.4,1.4,300000,0.15,0.15,0.15,0.15,6,Amsterdam,[],22.0,20.0
93,0.4,0.4,0.4,1.4,300000,0.15,0.15,0.15,0.15,9,Munich,[],21.5,21.5
94,0.4,0.4,0.4,1.4,300000,0.15,0.15,0.15,0.15,9,Bratislava,[],20.5,19.5
95,0.4,0.4,0.4,1.4,300000,0.15,0.15,0.15,0.15,9,Amsterdam,[],21.5,20.0
96,0.4,0.4,0.4,1.4,300000,0.15,0.15,0.15,0.15,12,Munich,[],22.5,22.5
97,0.4,0.4,0.4,1.4,300000,0.15,0.15,0.15,0.15,12,Bratislava,[],23.5,21.5
98,0.4,0.4,0.4,1.4,300000,0.15,0.15,0.15,0.15,12,Amsterdam,[],22.5,22.5
99,0.4,0.4,0.4,1.4,300000,0.2,0.2,0.2,0.2,6,Munich,[],22.5,22.5
100,0.4,0.4,0.4,1.4,300000,0.2,0.2,0.2,0.2,6,Bratislava,[],23.0,22.5
101,0.4,0.4,0.4,1.4,300000,0.2,0.2,0.2,0.2,6,Amsterdam,[],20.5,18.5
102,0.4,0.4,0.4,1.4,300000,0.2,0.2,0.2,0.2,9,Munich,[],21.0,18.0
103,0.4,0.4,0.4,1.4,300000,0.2,0.2,0.2,0.2,9,Bratislava,[],23.0,20.0
104,0.4,0.4,0.4,1.4,300000,0.2,0.2,0.2,0.2,9,Amsterdam,[],20.0,17.0
105,0.4,0.4,0.4,1.4,300000,0.2,0.2,0.2,0.2,12,Munich,[],22.5,19.0
106,0.4,0.4,0.4,1.4,300000,0.2,0.2,0.2,0.2,12,Bratislava,[],22.0,22.0
107,0.4,0.4,0.4,1.4,300000,0.2,0.2,0.2,0.2,12,Amsterdam,[],21.5,19.5
108,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,6,Munich,[],21.0,19.0
109,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,6,Bratislava,[],20.0,17.0
110,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,6,Amsterdam,[],22.0,18.5
111,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,9,Munich,[],21.5,21.5
112,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,9,Bratislava,[],21.0,19.0
113,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,9,Amsterdam,[],24.0,21.5
114,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,12,Munich,[],20.5,17.0
115,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,12,Bratislava,[],21.5,21.5
116,0.7,0.7,0.7,1.7,30000,0.15,0.15,0.15,0.15,12,Amsterdam,[],22.5,22.0
117,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,6,Munich,[],22.5,21.5
118,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,6,Bratislava,[],23.5,23.5
119,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,6,Amsterdam,[],23.5,21.0
120,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,9,Munich,[],21.0,18.5
121,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,9,Bratislava,[],23.5,21.5
122,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,9,Amsterdam,[],20.5,17.0
123,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,12,Munich,[],20.5,19.5
124,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,12,Bratislava,[],21.0,21.0
125,0.7,0.7,0.7,1.7,30000,0.2,0.2,0.2,0.2,12,Amsterdam,[],23.0,22.0
126,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,6,Munich,[],23.0,20.0
127,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,6,Bratislava,[],21.0,18.5
128,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,6,Amsterdam,[],22.5,22.0
129,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,9,Munich,[],22.5,21.0
130,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,9,Bratislava,[],20.0,18.5
131,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,9,Amsterdam,[],21.0,21.0
132,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,12,Munich,[],20.5,19.0
133,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,12,Bratislava,[],21.0,21.0
