,UExt,URoof,UFloor,UWin,heatCapacity_wall,fAWin_south,fAWin_east,fAWin_west,fAWin_north,zone_length,weaDat.fileName,changes,UpperSP,LowerSP
134,0.7,0.7,0.7,1.7,165000,0.15,0.15,0.15,0.15,12,Amsterdam,[],21.0,21.0
135,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,6,Munich,[],22.5,21.5
136,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,6,Bratislava,[],22.5,22.5
137,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,6,Amsterdam,[],21.0,19.0
138,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,9,Munich,[],20.5,20.0
139,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,9,Bratislava,[],23.0,20.0
140,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,9,Amsterdam,[],21.0,19.0
141,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,12,Munich,[],22.5,21.5
142,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,12,Bratislava,[],21.5,20.5
143,0.7,0.7,0.7,1.7,165000,0.2,0.2,0.2,0.2,12,Amsterdam,[],20.0,19.5
144,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,6,Munich,[],21.5,21.5
145,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,6,Bratislava,[],22.0,20.0
146,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,6,Amsterdam,[],21.5,21.5
147,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,9,Munich,[],23.5,23.5
148,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,9,Bratislava,[],22.0,20.5
149,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,9,Amsterdam,[],20.0,18.5
150,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,12,Munich,[],22.0,20.0
151,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,12,Bratislava,[],20.5,20.5
152,0.7,0.7,0.7,1.7,300000,0.15,0.15,0.15,0.15,12,Amsterdam,[],23.5,21.0
153,0.7,0.7,0.7,1.7,300000,0.2,0.2,0.2,0.2,6,Munich,[],22.5,20.5
154,0.7,0.7,0.7,1.7,300000,0.2,0.2,0.2,0.2,6,Bratislava,[],21.0,21.0
155,0.7,0.7,0.7,1.7,300000,0.2,0.2,0.2,0.2,6,Amsterdam,[],22.5,22.0
156,0.7,0.7,0.7,1.7,300000,0.2,0.2,0.2,0.2,9,Munich,[],21.5,17.5
157,0.7,0.7,0.7,1.7,300000,0.2,0.2,0.2,0.2,9,Bratislava,[],22.0,22.0
158,0.7,0.7,0.7,1.7,300000,0.2,0.2,0.2,0.2,9,Amsterdam,[],20.5,20.5
159,0.7,0.7,0.7,1.7,300000,0.2,0.2,0.2,0.2,12,Munich,[],23.0,19.0
160,0.7,0.7,0.7,1.7,300000,0.2,0.2,0.2,0.2,12,Bratislava,[],21.5,19.0
161,0.7,0.7,0.7,1.7,300000,0.2,0.2,0.2,0.2,12,Amsterdam,[],21.0,20.5
162,1.0,1.0,1.0,2.0,30000,0.15,0.15,0.15,0.15,6,Munich,[],21.5,21.5
163,1.0,1.0,1.0,2.0,30000,0.15,0.15,0.15,0.15,6,Bratislava,[],21.5,21.5
164,1.0,1.0,1.0,2.0,30000,0.15,0.15,0.15,0.15,6,Amsterdam,[],21.5,20.0
165,1.0,1.0,1.0,2.0,30000,0.15,0.15,0.15,0.15,9,Munich,[],22.5,19.0
166,1.0,1.0,1.0,2.0,30000,0.15,0.15,0.15,0.15,9,Bratislava,[],20.5,18.5
167,1.0,1.0,1.0,2.0,30000,0.15,0.15,0.15,0.15,9,Amsterdam,[],21.0,19.0
168,1.0,1.0,1.0,2.0,30000,0.15,0.15,0.15,0.15,12,Munich,[],21.5,21.5
169,1.0,1.0,1.0,2.0,30000,0.15,0.15,0.15,0.15,12,Bratislava,[],22.5,22.5
170,1.0,1.0,1.0,2.0,30000,0.15,0.15,0.15,0.15,12,Amsterdam,[],23.0,21.5
171,1.0,1.0,1.0,2.0,30000,0.2,0.2,0.2,0.2,6,Munich,[],21.5,18.5
172,1.0,1.0,1.0,2.0,30000,0.2,0.2,0.2,0.2,6,Bratislava,[],21.5,18.5
173,1.0,1.0,1.0,2.0,30000,0.2,0.2,0.2,0.2,6,Amsterdam,[],23.5,22.0
174,1.0,1.0,1.0,2.0,30000,0.2,0.2,0.2,0.2,9,Munich,[],23.0,20.0
175,1.0,1.0,1.0,2.0,30000,0.2,0.2,0.2,0.2,9,Bratislava,[],23.0,22.0
176,1.0,1.0,1.0,2.0,30000,0.2,0.2,0.2,0.2,9,Amsterdam,[],23.0,20.5
177,1.0,1.0,1.0,2.0,30000,0.2,0.2,0.2,0.2,12,Munich,[],23.0,22.5
178,1.0,1.0,1.0,2.0,30000,0.2,0.2,0.2,0.2,12,Bratislava,[],22.0,22.0
179,1.0,1.0,1.0,2.0,30000,0.2,0.2,0.2,0.2,12,Amsterdam,[],22.5,22.0
180,1.0,1.0,1.0,2.0,165000,0.15,0.15,0.15,0.15,6,Munich,[],24.0,23.0
181,1.0,1.0,1.0,2.0,165000,0.15,0.15,0.15,0.15,6,Bratislava,[],20.5,20.0
182,1.0,1.0,1.0,2.0,165000,0.15,0.15,0.15,0.15,6,Amsterdam,[],20.0,18.5
183,1.0,1.0,1.0,2.0,165000,0.15,0.15,0.15,0.15,9,Munich,[],21.0,19.5
184,1.0,1.0,1.0,2.0,165000,0.15,0.15,0.15,0.15,9,Bratislava,[],21.5,19.5
185,1.0,1.0,1.0,2.0,165000,0.15,0.15,0.15,0.15,9,Amsterdam,[],20.5,20.5
186,1.0,1.0,1.0,2.0,165000,0.15,0.15,0.15,0.15,12,Munich,[],20.5,18.5
187,1.0,1.0,1.0,2.0,165000,0.15,0.15,0.15,0.15,12,Bratislava,[],23.5,20.0
188,1.0,1.0,1.0,2.0,165000,0.15,0.15,0.15,0.15,12,Amsterdam,[],21.0,19.5
189,1.0,1.0,1.0,2.0,165000,0.2,0.2,0.2,0.2,6,Munich,[],23.5,22.0
190,1.0,1.0,1.0,2.0,165000,0.2,0.2,0.2,0.2,6,Bratislava,[],23.0,22.5
191,1.0,1.0,1.0,2.0,165000,0.2,0.2,0.2,0.2,6,Amsterdam,[],22.0,18.5
192,1.0,1.0,1.0,2.0,165000,0.2,0.2,0.2,0.2,9,Munich,[],22.0,19.0
193,1.0,1.0,1.0,2.0,165000,0.2,0.2,0.2,0.2,9,Bratislava,[],20.0,17.5
194,1.0,1.0,1.0,2.0,165000,0.2,0.2,0.2,0.2,9,Amsterdam,[],21.0,18.0
195,1.0,1.0,1.0,2.0,165000,0.2,0.2,0.2,0.2,12,Munich,[],21.0,17.5
196,1.0,1.0,1.0,2.0,165000,0.2,0.2,0.2,0.2,12,Bratislava,[],20.0,18.0
197,1.0,1.0,1.0,2.0,165000,0.2,0.2,0.2,0.2,12,Amsterdam,[],23.0,23.0
198,1.0,1.0,1.0,2.0,300000,0.15,0.15,0.15,0.15,6,Munich,[],22.0,21.0
199,1.0,1.0,1.0,2.0,300000,0.15,0.15,0.15,0.15,6,Bratislava,[],24.0,20.5
200,1.0,1.0,1.0,2.0,300000,0.15,0.15,0.15,0.15,6,Amsterdam,[],21.5,21.5
201,1.0,1.0,1.0,2.0,300000,0.15,0.15,0.15,0.15,9,Munich,[],20.5,17.5
202,1.0,1.0,1.0,2.0,300000,0.15,0.15,0.15,0.15,9,Bratislava,[],20.0,17.0
203,1.0,1.0,1.0,2.0,300000,0.15,0.15,0.15,0.15,9,Amsterdam,[],20.5,20.5
204,1.0,1.0,1.0,2.0,300000,0.15,0.15,0.15,0.15,12,Munich,[],22.0,22.0
205,1.0,1.0,1.0,2.0,300000,0.15,0.15,0.15,0.15,12,Bratislava,[],21.5,21.5
206,1.0,1.0,1.0,2.0,300000,0.15,0.15,0.15,0.15,12,Amsterdam,[],21.0,19.0
207,1.0,1.0,1.0,2.0,300000,0.2,0.2,0.2,0.2,6,Munich,[],20.5,18.5
208,1.0,1.0,1.0,2.0,300000,0.2,0.2,0.2,0.2,6,Bratislava,[],20.0,16.0
209,1.0,1.0,1.0,2.0,300000,0.2,0.2,0.2,0.2,6,Amsterdam,[],21.0,18.0
210,1.0,1.0,1.0,2.0,300000,0.2,0.2,0.2,0.2,9,Munich,[],24.0,21.5
211,1.0,1.0,1.0,2.0,300000,0.2,0.2,0.2,0.2,9,Bratislava,[],22.0,21.0
212,1.0,1.0,1.0,2.0,300000,0.2,0.2,0.2,0.2,9,Amsterdam,[],22.5,19.5
213,1.0,1.0,1.0,2.0,300000,0.2,0.2,0.2,0.2,12,Munich,[],23.0,21.5
214,1.0,1.0,1.0,2.0,300000,0.2,0.2,0.2,0.2,12,Bratislava,[],21.0,21.0
215,1.0,1.0,1.0,2.0,300000,0.2,0.2,0.2,0.2,12,Amsterdam,[],22.0,20.5
216,1.3,1.3,1.3,2.3,30000,0.15,0.15,0.15,0.15,6,Munich,[],22.0,18.5
217,1.3,1.3,1.3,2.3,30000,0.15,0.15,0.15,0.15,6,Bratislava,[],23.5,22.5
218,1.3,1.3,1.3,2.3,30000,0.15,0.15,0.15,0.15,6,Amsterdam,[],23.0,21.0
219,1.3,1.3,1.3,2.3,30000,0.15,0.15,0.15,0.15,9,Munich,[],20.5,20.5
220,1.3,1.3,1.3,2.3,30000,0.15,0.15,0.15,0.15,9,Bratislava,[],20.5,20.0
221,1.3,1.3,1.3,2.3,30000,0.15,0.15,0.15,0.15,9,Amsterdam,[],23.5,23.5
222,1.3,1.3,1.3,2.3,30000,0.15,0.15,0.15,0.15,12,Munich,[],20.0,16.5
223,1.3,1.3,1.3,2.3,30000,0.15,0.15,0.15,0.15,12,Bratislava,[],23.5,20.5
224,1.3,1.3,1.3,2.3,30000,0.15,0.15,0.15,0.15,12,Amsterdam,[],22.5,20.5
225,1.3,1.3,1.3,2.3,30000,0.2,0.2,0.2,0.2,6,Munich,[],23.5,22.0
226,1.3,1.3,1.3,2.3,30000,0.2,0.2,0.2,0.2,6,Bratislava,[],21.0,19.5
227,1.3,1.3,1.3,2.3,30000,0.2,0.2,0.2,0.2,6,Amsterdam,[],22.0,20.0
228,1.3,1.3,1.3,2.3,30000,0.2,0.2,0.2,0.2,9,Munich,[],22.5,19.0
229,1.3,1.3,1.3,2.3,30000,0.2,0.2,0.2,0.2,9,Bratislava,[],20.5,18.5
230,1.3,1.3,1.3,2.3,30000,0.2,0.2,0.2,0.2,9,Amsterdam,[],22.5,19.5
231,1.3,1.3,1.3,2.3,30000,0.2,0.2,0.2,0.2,12,Munich,[],23.5,20.5
232,1.3,1.3,1.3,2.3,30000,0.2,0.2,0.2,0.2,12,Bratislava,[],23.0,23.0
233,1.3,1.3,1.3,2.3,30000,0.2,0.2,0.2,0.2,12,Amsterdam,[],21.0,18.0
234,1.3,1.3,1.3,2.3,165000,0.15,0.15,0.15,0.15,6,Munich,[],21.0,18.5
235,1.3,1.3,1.3,2.3,165000,0.15,0.15,0.15,0.15,6,Bratislava,[],21.5,21.5
236,1.3,1.3,1.3,2.3,165000,0.15,0.15,0.15,0.15,6,Amsterdam,[],21.0,20.0
237,1.3,1.3,1.3,2.3,165000,0.15,0.15,0.15,0.15,9,Munich,[],22.0,21.0
238,1.3,1.3,1.3,2.3,165000,0.15,0.15,0.15,0.15,9,Bratislava,[],20.0,20.0
239,1.3,1.3,1.3,2.3,165000,0.15,0.15,0.15,0.15,9,Amsterdam,[],22.5,22.5
240,1.3,1.3,1.3,2.3,165000,0.15,0.15,0.15,0.15,12,Munich,[],21.0,21.0
241,1.3,1.3,1.3,2.3,165000,0.15,0.15,0.15,0.15,12,Bratislava,[],22.0,20.5
242,1.3,1.3,1.3,2.3,165000,0.15,0.15,0.15,0.15,12,Amsterdam,[],20.0,18.5
243,1.3,1.3,1.3,2.3,165000,0.2,0.2,0.2,0.2,6,Munich,[],24.0,20.5
244,1.3,1.3,1.3,2.3,165000,0.2,0.2,0.2,0.2,6,Bratislava,[],23.0,22.5
245,1.3,1.3,1.3,2.3,165000,0.2,0.2,0.2,0.2,6,Amsterdam,[],21.5,19.5
246,1.3,1.3,1.3,2.3,165000,0.2,0.2,0.2,0.2,9,Munich,[],23.0,20.0
247,1.3,1.3,1.3,2.3,165000,0.2,0.2,0.2,0.2,9,Bratislava,[],23.0,21.5
248,1.3,1.3,1.3,2.3,165000,0.2,0.2,0.2,0.2,9,Amsterdam,[],21.0,21.0
249,1.3,1.3,1.3,2.3,165000,0.2,0.2,0.2,0.2,12,Munich,[],20.5,20.5
250,1.3,1.3,1.3,2.3,165000,0.2,0.2,0.2,0.2,12,Bratislava,[],24.0,22.5
251,1.3,1.3,1.3,2.3,165000,0.2,0.2,0.2,0.2,12,Amsterdam,[],23.5,21.0
252,1.3,1.3,1.3,2.3,300000,0.15,0.15,0.15,0.15,6,Munich,[],21.5,21.5
253,1.3,1.3,1.3,2.3,300000,0.15,0.15,0.15,0.15,6,Bratislava,[],22.5,20.0
254,1.3,1.3,1.3,2.3,300000,0.15,0.15,0.15,0.15,6,Amsterdam,[],23.5,22.0
255,1.3,1.3,1.3,2.3,300000,0.15,0.15,0.15,0.15,9,Munich,[],21.5,21.5
256,1.3,1.3,1.3,2.3,300000,0.15,0.15,0.15,0.15,9,Bratislava,[],22.0,21.5
257,1.3,1.3,1.3,2.3,300000,0.15,0.15,0.15,0.15,9,Amsterdam,[],21.5,21.5
258,1.3,1.3,1.3,2.3,300000,0.15,0.15,0.15,0.15,12,Munich,[],21.0,18.5
259,1.3,1.3,1.3,2.3,300000,0.15,0.15,0.15,0.15,12,Bratislava,[],24.0,24.0
260,1.3,1.3,1.3,2.3,300000,0.15,0.15,0.15,0.15,12,Amsterdam,[],23.0,23.0
261,1.3,1.3,1.3,2.3,300000,0.2,0.2,0.2,0.2,6,Munich,[],22.5,21.5
262,1.3,1.3,1.3,2.3,300000,0.2,0.2,0.2,0.2,6,Bratislava,[],22.5,20.5
263,1.3,1.3,1.3,2.3,300000,0.2,0.2,0.2,0.2,6,Amsterdam,[],22.0,22.0
264,1.3,1.3,1.3,2.3,300000,0.2,0.2,0.2,0.2,9,Munich,[],22.5,22.5
265,1.3,1.3,1.3,2.3,300000,0.2,0.2,0.2,0.2,9,Bratislava,[],21.0,18.0
266,1.3,1.3,1.3,2.3,300000,0.2,0.2,0.2,0.2,9,Amsterdam,[],21.0,19.0
267,1.3,1.3,1.3,2.3,300000,0.2,0.2,0.2,0.2,12,Munich,[],22.5,22.5
268,1.3,1.3,1.3,2.3,300000,0.2,0.2,0.2,0.2,12,Bratislava,[],22.5,20.5
269,1.3,1.3,1.3,2.3,300000,0.2,0.2,0.2,0.2,12,Amsterdam,[],20.5,17.5
